,focus,score,theme,order
0,Exploratory Data Analysis,4,Purpose Outcomes,ka
1,Exploratory Data Analysis,3,Purpose Outcomes,db
2,Exploratory Data Analysis,3,Purpose Outcomes,tb
3,Exploratory Data Analysis,3,Purpose Outcomes,md
4,Exploratory Data Analysis,3,Purpose Outcomes,rj
5,Exploratory Data Analysis,0,Purpose Outcomes,kc
6,Exploratory Data Analysis,3,Purpose Outcomes,mb
7,Exploratory Data Analysis,2,Purpose Outcomes,ca
8,Diagnostic Data Analysis,4,Purpose Outcomes,ka
9,Diagnostic Data Analysis,3,Purpose Outcomes,db
10,Diagnostic Data Analysis,3,Purpose Outcomes,tb
11,Diagnostic Data Analysis,4,Purpose Outcomes,md
12,Diagnostic Data Analysis,2,Purpose Outcomes,rj
13,Diagnostic Data Analysis,1,Purpose Outcomes,kc
14,Diagnostic Data Analysis,2,Purpose Outcomes,mb
15,Diagnostic Data Analysis,2,Purpose Outcomes,ca
16,Predictive Data Analysis,1,Purpose Outcomes,ka
17,Predictive Data Analysis,0,Purpose Outcomes,db
18,Predictive Data Analysis,2,Purpose Outcomes,tb
19,Predictive Data Analysis,2,Purpose Outcomes,md
20,Predictive Data Analysis,3,Purpose Outcomes,rj
21,Predictive Data Analysis,2,Purpose Outcomes,kc
22,Predictive Data Analysis,1,Purpose Outcomes,mb
23,Predictive Data Analysis,1,Purpose Outcomes,ca
24,Time Series Analysis,3,Purpose Outcomes,ka
25,Time Series Analysis,1,Purpose Outcomes,db
26,Time Series Analysis,2,Purpose Outcomes,tb
27,Time Series Analysis,2,Purpose Outcomes,md
28,Time Series Analysis,3,Purpose Outcomes,rj
29,Time Series Analysis,2,Purpose Outcomes,kc
30,Time Series Analysis,2,Purpose Outcomes,mb
31,Time Series Analysis,4,Purpose Outcomes,ca
32,Longitundinal Data Analysis,3,Purpose Outcomes,ka
33,Longitundinal Data Analysis,1,Purpose Outcomes,db
34,Longitundinal Data Analysis,2,Purpose Outcomes,tb
35,Longitundinal Data Analysis,1,Purpose Outcomes,md
36,Longitundinal Data Analysis,1,Purpose Outcomes,rj
37,Longitundinal Data Analysis,1,Purpose Outcomes,kc
38,Longitundinal Data Analysis,1,Purpose Outcomes,mb
39,Longitundinal Data Analysis,0,Purpose Outcomes,ca
40,Data Analysis Insights As Inputs,2,Purpose Outcomes,ka
41,Data Analysis Insights As Inputs,2,Purpose Outcomes,db
42,Data Analysis Insights As Inputs,2,Purpose Outcomes,tb
43,Data Analysis Insights As Inputs,2,Purpose Outcomes,md
44,Data Analysis Insights As Inputs,3,Purpose Outcomes,rj
45,Data Analysis Insights As Inputs,0,Purpose Outcomes,kc
46,Data Analysis Insights As Inputs,1,Purpose Outcomes,mb
47,Data Analysis Insights As Inputs,0,Purpose Outcomes,ca
48,C,1,Tech Tools Platform,ka
49,C,1,Tech Tools Platform,db
50,C,1,Tech Tools Platform,tb
51,C,0,Tech Tools Platform,md
52,C,2,Tech Tools Platform,rj
53,C,3,Tech Tools Platform,kc
54,C,0,Tech Tools Platform,mb
55,C,0,Tech Tools Platform,ca
56,C++,1,Tech Tools Platform,ka
57,C++,0,Tech Tools Platform,db
58,C++,2,Tech Tools Platform,tb
59,C++,3,Tech Tools Platform,md
60,C++,0,Tech Tools Platform,rj
61,C++,4,Tech Tools Platform,kc
62,C++,0,Tech Tools Platform,mb
63,C++,2,Tech Tools Platform,ca
64,C#,0,Tech Tools Platform,ka
65,C#,0,Tech Tools Platform,db
66,C#,1,Tech Tools Platform,tb
67,C#,2,Tech Tools Platform,md
68,C#,0,Tech Tools Platform,rj
69,C#,0,Tech Tools Platform,kc
70,C#,0,Tech Tools Platform,mb
71,C#,0,Tech Tools Platform,ca
72,Java,1,Tech Tools Platform,ka
73,Java,1,Tech Tools Platform,db
74,Java,2,Tech Tools Platform,tb
75,Java,0,Tech Tools Platform,md
76,Java,0,Tech Tools Platform,rj
77,Java,2,Tech Tools Platform,kc
78,Java,0,Tech Tools Platform,mb
79,Java,0,Tech Tools Platform,ca
80,Javacsript,1,Tech Tools Platform,ka
81,Javacsript,0,Tech Tools Platform,db
82,Javacsript,1,Tech Tools Platform,tb
83,Javacsript,0,Tech Tools Platform,md
84,Javacsript,0,Tech Tools Platform,rj
85,Javacsript,0,Tech Tools Platform,kc
86,Javacsript,0,Tech Tools Platform,mb
87,Javacsript,0,Tech Tools Platform,ca
88,Julia,0,Tech Tools Platform,ka
89,Julia,0,Tech Tools Platform,db
90,Julia,1,Tech Tools Platform,tb
91,Julia,0,Tech Tools Platform,md
92,Julia,0,Tech Tools Platform,rj
93,Julia,0,Tech Tools Platform,kc
94,Julia,0,Tech Tools Platform,mb
95,Julia,0,Tech Tools Platform,ca
96,Lisp/Closure,0,Tech Tools Platform,ka
97,Lisp/Closure,0,Tech Tools Platform,db
98,Lisp/Closure,1,Tech Tools Platform,tb
99,Lisp/Closure,1,Tech Tools Platform,md
100,Lisp/Closure,0,Tech Tools Platform,rj
101,Lisp/Closure,1,Tech Tools Platform,kc
102,Lisp/Closure,0,Tech Tools Platform,mb
103,Lisp/Closure,0,Tech Tools Platform,ca
104,.NET,0,Tech Tools Platform,ka
105,.NET,0,Tech Tools Platform,db
106,.NET,1,Tech Tools Platform,tb
107,.NET,0,Tech Tools Platform,md
108,.NET,0,Tech Tools Platform,rj
109,.NET,0,Tech Tools Platform,kc
110,.NET,0,Tech Tools Platform,mb
111,.NET,0,Tech Tools Platform,ca
112,Perl,0,Tech Tools Platform,ka
113,Perl,0,Tech Tools Platform,db
114,Perl,1,Tech Tools Platform,tb
115,Perl,0,Tech Tools Platform,md
116,Perl,0,Tech Tools Platform,rj
117,Perl,1,Tech Tools Platform,kc
118,Perl,0,Tech Tools Platform,mb
119,Perl,0,Tech Tools Platform,ca
120,PHP,0,Tech Tools Platform,ka
121,PHP,0,Tech Tools Platform,db
122,PHP,1,Tech Tools Platform,tb
123,PHP,0,Tech Tools Platform,md
124,PHP,0,Tech Tools Platform,rj
125,PHP,0,Tech Tools Platform,kc
126,PHP,0,Tech Tools Platform,mb
127,PHP,0,Tech Tools Platform,ca
128,Python,1,Tech Tools Platform,ka
129,Python,0,Tech Tools Platform,db
130,Python,2,Tech Tools Platform,tb
131,Python,2,Tech Tools Platform,md
132,Python,4,Tech Tools Platform,rj
133,Python,1,Tech Tools Platform,kc
134,Python,1,Tech Tools Platform,mb
135,Python,1,Tech Tools Platform,ca
136,R,1,Tech Tools Platform,ka
137,R,1,Tech Tools Platform,db
138,R,3,Tech Tools Platform,tb
139,R,4,Tech Tools Platform,md
140,R,3,Tech Tools Platform,rj
141,R,1,Tech Tools Platform,kc
142,R,3,Tech Tools Platform,mb
143,R,2,Tech Tools Platform,ca
144,Ruby/Rails,0,Tech Tools Platform,ka
145,Ruby/Rails,0,Tech Tools Platform,db
146,Ruby/Rails,1,Tech Tools Platform,tb
147,Ruby/Rails,0,Tech Tools Platform,md
148,Ruby/Rails,0,Tech Tools Platform,rj
149,Ruby/Rails,0,Tech Tools Platform,kc
150,Ruby/Rails,0,Tech Tools Platform,mb
151,Ruby/Rails,0,Tech Tools Platform,ca
152,Scala,0,Tech Tools Platform,ka
153,Scala,0,Tech Tools Platform,db
154,Scala,3,Tech Tools Platform,tb
155,Scala,0,Tech Tools Platform,md
156,Scala,0,Tech Tools Platform,rj
157,Scala,0,Tech Tools Platform,kc
158,Scala,0,Tech Tools Platform,mb
159,Scala,0,Tech Tools Platform,ca
160,SQL,2,Tech Tools Platform,ka
161,SQL,0,Tech Tools Platform,db
162,SQL,2,Tech Tools Platform,tb
163,SQL,1,Tech Tools Platform,md
164,SQL,1,Tech Tools Platform,rj
165,SQL,1,Tech Tools Platform,kc
166,SQL,0,Tech Tools Platform,mb
167,SQL,0,Tech Tools Platform,ca
168,Visual Basic,2,Tech Tools Platform,ka
169,Visual Basic,2,Tech Tools Platform,db
170,Visual Basic,2,Tech Tools Platform,tb
171,Visual Basic,1,Tech Tools Platform,md
172,Visual Basic,2,Tech Tools Platform,rj
173,Visual Basic,0,Tech Tools Platform,kc
174,Visual Basic,2,Tech Tools Platform,mb
175,Visual Basic,0,Tech Tools Platform,ca
176,Desktop Relational DBs,3,Tech Tools Platform,ka
177,Desktop Relational DBs,2,Tech Tools Platform,db
178,Desktop Relational DBs,3,Tech Tools Platform,tb
179,Desktop Relational DBs,1,Tech Tools Platform,md
180,Desktop Relational DBs,1,Tech Tools Platform,rj
181,Desktop Relational DBs,0,Tech Tools Platform,kc
182,Desktop Relational DBs,1,Tech Tools Platform,mb
183,Desktop Relational DBs,1,Tech Tools Platform,ca
184,Client Server Relational DBs,1,Tech Tools Platform,ka
185,Client Server Relational DBs,0,Tech Tools Platform,db
186,Client Server Relational DBs,3,Tech Tools Platform,tb
187,Client Server Relational DBs,1,Tech Tools Platform,md
188,Client Server Relational DBs,1,Tech Tools Platform,rj
189,Client Server Relational DBs,0,Tech Tools Platform,kc
190,Client Server Relational DBs,0,Tech Tools Platform,mb
191,Client Server Relational DBs,0,Tech Tools Platform,ca
192,NoSQL DBs,0,Tech Tools Platform,ka
193,NoSQL DBs,0,Tech Tools Platform,db
194,NoSQL DBs,1,Tech Tools Platform,tb
195,NoSQL DBs,0,Tech Tools Platform,md
196,NoSQL DBs,0,Tech Tools Platform,rj
197,NoSQL DBs,0,Tech Tools Platform,kc
198,NoSQL DBs,0,Tech Tools Platform,mb
199,NoSQL DBs,0,Tech Tools Platform,ca
200,Distributed DBs,0,Tech Tools Platform,ka
201,Distributed DBs,0,Tech Tools Platform,db
202,Distributed DBs,1,Tech Tools Platform,tb
203,Distributed DBs,0,Tech Tools Platform,md
204,Distributed DBs,0,Tech Tools Platform,rj
205,Distributed DBs,0,Tech Tools Platform,kc
206,Distributed DBs,0,Tech Tools Platform,mb
207,Distributed DBs,0,Tech Tools Platform,ca
208,Open Source DB Tools,1,Tech Tools Platform,ka
209,Open Source DB Tools,1,Tech Tools Platform,db
210,Open Source DB Tools,4,Tech Tools Platform,tb
211,Open Source DB Tools,4,Tech Tools Platform,md
212,Open Source DB Tools,4,Tech Tools Platform,rj
213,Open Source DB Tools,1,Tech Tools Platform,kc
214,Open Source DB Tools,4,Tech Tools Platform,mb
215,Open Source DB Tools,2,Tech Tools Platform,ca
216,Proprietary DB Tools,2,Tech Tools Platform,ka
217,Proprietary DB Tools,2,Tech Tools Platform,db
218,Proprietary DB Tools,2,Tech Tools Platform,tb
219,Proprietary DB Tools,2,Tech Tools Platform,md
220,Proprietary DB Tools,3,Tech Tools Platform,rj
221,Proprietary DB Tools,2,Tech Tools Platform,kc
222,Proprietary DB Tools,3,Tech Tools Platform,mb
223,Proprietary DB Tools,4,Tech Tools Platform,ca
224,Open source Machine learning tools,1,Tech Tools Platform,ka
225,Open source Machine learning tools,0,Tech Tools Platform,db
226,Open source Machine learning tools,2,Tech Tools Platform,tb
227,Open source Machine learning tools,0,Tech Tools Platform,md
228,Open source Machine learning tools,3,Tech Tools Platform,rj
229,Open source Machine learning tools,0,Tech Tools Platform,kc
230,Open source Machine learning tools,1,Tech Tools Platform,mb
231,Open source Machine learning tools,1,Tech Tools Platform,ca
232,Proprietary Machine learning tools,2,Tech Tools Platform,ka
233,Proprietary Machine learning tools,2,Tech Tools Platform,db
234,Proprietary Machine learning tools,1,Tech Tools Platform,tb
235,Proprietary Machine learning tools,1,Tech Tools Platform,md
236,Proprietary Machine learning tools,1,Tech Tools Platform,rj
237,Proprietary Machine learning tools,1,Tech Tools Platform,kc
238,Proprietary Machine learning tools,1,Tech Tools Platform,mb
239,Proprietary Machine learning tools,0,Tech Tools Platform,ca
240,Open Source Network Analysis tools,0,Tech Tools Platform,ka
241,Open Source Network Analysis tools,0,Tech Tools Platform,db
242,Open Source Network Analysis tools,1,Tech Tools Platform,tb
243,Open Source Network Analysis tools,0,Tech Tools Platform,md
244,Open Source Network Analysis tools,0,Tech Tools Platform,rj
245,Open Source Network Analysis tools,0,Tech Tools Platform,kc
246,Open Source Network Analysis tools,0,Tech Tools Platform,mb
247,Open Source Network Analysis tools,0,Tech Tools Platform,ca
248,Proprietary Network Analysis tools,0,Tech Tools Platform,ka
249,Proprietary Network Analysis tools,0,Tech Tools Platform,db
250,Proprietary Network Analysis tools,0,Tech Tools Platform,tb
251,Proprietary Network Analysis tools,0,Tech Tools Platform,md
252,Proprietary Network Analysis tools,0,Tech Tools Platform,rj
253,Proprietary Network Analysis tools,0,Tech Tools Platform,kc
254,Proprietary Network Analysis tools,0,Tech Tools Platform,mb
255,Proprietary Network Analysis tools,0,Tech Tools Platform,ca
256,Deep Learning Frameworks,0,Tech Tools Platform,ka
257,Deep Learning Frameworks,0,Tech Tools Platform,db
258,Deep Learning Frameworks,1,Tech Tools Platform,tb
259,Deep Learning Frameworks,0,Tech Tools Platform,md
260,Deep Learning Frameworks,1,Tech Tools Platform,rj
261,Deep Learning Frameworks,0,Tech Tools Platform,kc
262,Deep Learning Frameworks,1,Tech Tools Platform,mb
263,Deep Learning Frameworks,0,Tech Tools Platform,ca
264,Source Code Management,0,Tech Tools Platform,ka
265,Source Code Management,0,Tech Tools Platform,db
266,Source Code Management,2,Tech Tools Platform,tb
267,Source Code Management,1,Tech Tools Platform,md
268,Source Code Management,3,Tech Tools Platform,rj
269,Source Code Management,0,Tech Tools Platform,kc
270,Source Code Management,1,Tech Tools Platform,mb
271,Source Code Management,1,Tech Tools Platform,ca
272,Generating Data Visualizations,2,Tech Tools Platform,ka
273,Generating Data Visualizations,2,Tech Tools Platform,db
274,Generating Data Visualizations,2,Tech Tools Platform,tb
275,Generating Data Visualizations,2,Tech Tools Platform,md
276,Generating Data Visualizations,2,Tech Tools Platform,rj
277,Generating Data Visualizations,0,Tech Tools Platform,kc
278,Generating Data Visualizations,1,Tech Tools Platform,mb
279,Generating Data Visualizations,0,Tech Tools Platform,ca
280,Data Dashboards,3,Tech Tools Platform,ka
281,Data Dashboards,2,Tech Tools Platform,db
282,Data Dashboards,2,Tech Tools Platform,tb
283,Data Dashboards,4,Tech Tools Platform,md
284,Data Dashboards,1,Tech Tools Platform,rj
285,Data Dashboards,2,Tech Tools Platform,kc
286,Data Dashboards,2,Tech Tools Platform,mb
287,Data Dashboards,0,Tech Tools Platform,ca
288,Distributed Computing,1,Tech Tools Platform,ka
289,Distributed Computing,0,Tech Tools Platform,db
290,Distributed Computing,1,Tech Tools Platform,tb
291,Distributed Computing,1,Tech Tools Platform,md
292,Distributed Computing,2,Tech Tools Platform,rj
293,Distributed Computing,0,Tech Tools Platform,kc
294,Distributed Computing,0,Tech Tools Platform,mb
295,Distributed Computing,0,Tech Tools Platform,ca
296,Cloud-based Computing,0,Tech Tools Platform,ka
297,Cloud-based Computing,0,Tech Tools Platform,db
298,Cloud-based Computing,2,Tech Tools Platform,tb
299,Cloud-based Computing,1,Tech Tools Platform,md
300,Cloud-based Computing,1,Tech Tools Platform,rj
301,Cloud-based Computing,0,Tech Tools Platform,kc
302,Cloud-based Computing,0,Tech Tools Platform,mb
303,Cloud-based Computing,1,Tech Tools Platform,ca
304,Open Source GIS tools,0,Tech Tools Platform,ka
305,Open Source GIS tools,0,Tech Tools Platform,db
306,Open Source GIS tools,1,Tech Tools Platform,tb
307,Open Source GIS tools,0,Tech Tools Platform,md
308,Open Source GIS tools,0,Tech Tools Platform,rj
309,Open Source GIS tools,0,Tech Tools Platform,kc
310,Open Source GIS tools,0,Tech Tools Platform,mb
311,Open Source GIS tools,0,Tech Tools Platform,ca
312,Proprietary GIS tools,0,Tech Tools Platform,ka
313,Proprietary GIS tools,0,Tech Tools Platform,db
314,Proprietary GIS tools,3,Tech Tools Platform,tb
315,Proprietary GIS tools,1,Tech Tools Platform,md
316,Proprietary GIS tools,0,Tech Tools Platform,rj
317,Proprietary GIS tools,0,Tech Tools Platform,kc
318,Proprietary GIS tools,0,Tech Tools Platform,mb
319,Proprietary GIS tools,2,Tech Tools Platform,ca
320,GPU processing,0,Tech Tools Platform,ka
321,GPU processing,0,Tech Tools Platform,db
322,GPU processing,1,Tech Tools Platform,tb
323,GPU processing,1,Tech Tools Platform,md
324,GPU processing,0,Tech Tools Platform,rj
325,GPU processing,0,Tech Tools Platform,kc
326,GPU processing,0,Tech Tools Platform,mb
327,GPU processing,0,Tech Tools Platform,ca
328,In memory processing,0,Tech Tools Platform,ka
329,In memory processing,0,Tech Tools Platform,db
330,In memory processing,1,Tech Tools Platform,tb
331,In memory processing,1,Tech Tools Platform,md
332,In memory processing,1,Tech Tools Platform,rj
333,In memory processing,0,Tech Tools Platform,kc
334,In memory processing,0,Tech Tools Platform,mb
335,In memory processing,0,Tech Tools Platform,ca
336,Microservices,0,Tech Tools Platform,ka
337,Microservices,0,Tech Tools Platform,db
338,Microservices,1,Tech Tools Platform,tb
339,Microservices,0,Tech Tools Platform,md
340,Microservices,0,Tech Tools Platform,rj
341,Microservices,0,Tech Tools Platform,kc
342,Microservices,0,Tech Tools Platform,mb
343,Microservices,0,Tech Tools Platform,ca
